"date","open","close","high","low"
"2016/12/19","263","263.3","262.4","263.5"
"2016/12/20","263","262.92","262.18","263.54"
"2016/12/21","262","261.5","260","263"
"2016/12/22","261.5","260.14","260","261.55"
"2016/12/23","260","260.75","259.8","260.9"
"2016/12/26","261.5","261.5","260.02","261.5"
"2016/12/27","261.5","261.5","261.5","262.4"
"2016/12/28","262.5","263.06","261.53","263"
"2016/12/29","263.49","263.75","262.5","264.5"
"2016/12/30","263.3","265.35","263.3","266.3"
"2017/1/3","265.35","265.24","264.6","266.66"
"2017/1/4","265.98","265.3","264.61","266"
"2017/1/5","265.9","265.6","264.6","265.9"
"2017/1/6","265.6","265.25","265.05","266.49"
"2017/1/9","266.65","266.33","265.12","266.65"
"2017/1/10","266.8","268.68","266.51","268.98"
"2017/1/11","268.21","269.09","268.21","269.5"
"2017/1/12","269","269.78","267.04","269.89"
"2017/1/13","270","269.27","267.03","270"
"2017/1/16","268.15","271.29","268.15","271.5"
"2017/1/17","270.39","272.29","270.3","272.5"
"2017/1/18","272.11","271.8","271.2","272.98"
"2017/1/19","270.95","268.99","267.8","271.7"
"2017/1/20","268.99","269.51","268","269.51"
"2017/1/23","285","270.64","269","285"
"2017/1/24","271.29","270.27","270.2","271.45"
"2017/1/25","270.27","268.68","268","270.3"
"2017/1/26","268.98","266.71","266.04","268.98"
"2017/2/3","269.95","269.58","269.5","270"
"2017/2/6","269.78","271.81","269.6","272.22"
"2017/2/7","272.5","274.49","272.5","274.5"
"2017/2/8","274.01","274.95","273.8","275.4"
"2017/2/9","275.7","276.46","275.7","276.66"
"2017/2/10","276.18","273.54","272.7","277.35"
"2017/2/13","273.51","274.76","273.5","275.28"
"2017/2/14","265.39","274.44","265.38","274.69"
"2017/2/15","274.6","273.17","273.02","274.6"
"2017/2/16","272.88","274.67","272.8","275.01"
"2017/2/17","276","275.74","274.52","276"
"2017/2/20","275.74","275.69","275","276.4"
"2017/2/21","275.7","275.79","275.21","276"
"2017/2/22","275.15","275.83","274.6","276.2"
"2017/2/23","275.01","276.05","275.01","276.4"
"2017/2/24","276.3","279.52","276.3","279.58"
"2017/2/27","280.01","280.58","278.02","282.2"
"2017/2/28","280.01","280","279.6","280.99"
"2017/3/1","280","277.24","277.2","280"
"2017/3/2","277.24","278.27","277.1","278.79"
"2017/3/3","277.5","276.24","275.9","277.95"
"2017/3/6","276","276.34","276","277.35"
"2017/3/7","276.2","275.64","275.5","277.39"
"2017/3/8","275.14","274.07","274","275.2"
"2017/3/9","273.88","272.01","272.01","273.88"
"2017/3/10","271.61","270.59","270.51","273.49"
"2017/3/13","270.88","273.37","270.88","273.4"
"2017/3/14","272.5","271.84","271.56","272.85"
"2017/3/15","272.38","272.36","271.3","272.5"
"2017/3/16","271.6","275.77","271.3","276.3"
