date,open,close,high,low
2016/12/19,262.45,262.76,262.02,263.5
2016/12/20,262.88,262.06,261.42,263.7
2016/12/21,262.4,260.97,258.6,262.65
2016/12/22,261.18,260,259.05,261.18
2016/12/23,258.95,260.07,258.7,260.37
2016/12/26,260,261.4,259.8,261.45
2016/12/27,261.4,261.67,260.6,261.79
2016/12/28,262.5,261.91,260.11,262.9
2016/12/29,261.6,262.99,260.8,263.2
2016/12/30,262.84,263.9,261,265.8
2017/1/3,264.04,263.65,258,265.2
2017/1/4,263.99,264.87,263.2,265
2017/1/5,265.98,264.73,264,265.98
2017/1/6,264.9,265.29,263.5,265.65
2017/1/9,265.06,265.89,264.66,266
2017/1/10,265.89,268.11,265.89,268.6
2017/1/11,268.88,269.09,268,269.88
2017/1/12,269,269.33,266.75,269.77
2017/1/13,270.6,268.79,268.42,270.6
2017/1/16,269,270.5,268.15,270.99
2017/1/17,270.98,272.18,270,272.51
2017/1/18,273,271.03,270.95,273
2017/1/19,273,268.03,268,273
2017/1/20,268.99,269.05,268,269.36
2017/1/23,269.33,270.28,268.15,271
2017/1/24,270.48,269.85,269.7,270.66
2017/1/25,270.49,268.07,267.7,271.15
2017/1/26,268.99,266.25,265.8,268.99
2017/2/3,266.25,269.3,266.25,270.1
2017/2/6,268.01,271.79,267.3,272.4
2017/2/7,272.2,274.16,272.2,274.7
2017/2/8,274.2,274.35,273.85,275.39
2017/2/9,275.97,276.31,275.51,277.65
2017/2/10,276.2,272.83,272.95,276.69
2017/2/13,273.97,274.64,273.1,275.01
2017/2/14,274.98,274.06,272.7,274.98
2017/2/15,274.49,273.4,273,274.59
2017/2/16,273.99,274.93,272.1,275.45
2017/2/17,275.5,275.75,275.11,276.1
2017/2/20,275.75,275.5,274.9,276.66
2017/2/21,276.49,275.55,275.01,276.49
2017/2/22,274.86,275.6,274.5,276.45
2017/2/23,276.48,276.2,275.3,276.48
2017/2/24,276.59,279.63,276.01,279.84
2017/2/27,281.2,280.6,278.81,281.2
2017/2/28,280.4,281.83,279.5,281.25
2017/3/1,280,278,277.4,280.35
2017/3/2,278,278.35,277,279.43
2017/3/3,278.49,276.23,275.7,278.5
2017/3/6,275.5,276.54,275.39,277
2017/3/7,276.5,275.37,275.38,276.9
2017/3/8,275.9,273.79,273.71,275.9
2017/3/9,274.6,272.22,271.8,274.6
2017/3/10,272.69,270.41,270.2,273.49
2017/3/13,271.78,272.9,270.12,274.15
2017/3/14,271,271.3,270.15,273.88
2017/3/15,272,271.51,271,272.1
2017/3/16,271.4,275.89,271,276.2
2017/3/17,275.02,275.62,275.01,276.48
2017/3/20,275.62,277.07,275.62,277.2
2017/3/21,276.7,275.75,275.7,277.25
2017/3/22,276.2,278.2,276.2,278.95
2017/3/23,278.2,278.21,277.81,278.6
2017/3/24,278.4,277.88,277.6,279.28
2017/3/27,278.35,280.53,277.88,281
2017/3/28,280.5,280.23,280,281.19
2017/3/29,280.5,279.74,279.35,281.17
2017/3/30,279.52,279.6,279.3,279.99
2017/3/31,278.48,277.81,277.6,279.93
2017/4/5,277.81,280.63,277.81,280.64
2017/4/6,280.49,280.21,278.8,280.55
2017/4/7,280.35,282.93,279.7,284.43
2017/4/10,282.9,281.39,280.51,284.48
2017/4/11,281.39,281.84,280,281.9
2017/4/12,282.49,284.41,281.5,285.6
2017/4/13,285.58,286.69,284,300
2017/4/14,286.99,286.6,285.8,287
2017/4/17,287.45,286.9,286.41,288.5
2017/4/18,289.99,286.13,285.75,289.99
