date,open,close,high,low
2016/12/19,219,223.47,219,224
2016/12/20,222,222.06,222,223
2016/12/21,221.5,222,221.5,222
2016/12/22,220.5,221,220,221.5
2016/12/23,219.5,219,219,219.5
2016/12/26,218,219.44,217,220
2016/12/27,218.5,219,218.5,219
2016/12/28,219.5,219.78,219.5,221
2016/12/29,217.5,219.82,217,220.5
2016/12/30,219.5,219.1,218.75,220
2017/1/3,222,221.68,221.5,222
2017/1/4,224,224.08,224,224.5
2017/1/5,227.75,228.55,227.75,228.75
2017/1/6,230,230.37,230,230.5
2017/1/9,232,232,232,232
2017/1/10,233,233.31,233,233.5
2017/1/11,233.31,233.23,232.75,233.5
2017/1/12,232.5,234.38,232.5,234.5
2017/1/13,231.5,230.9,230.5,231.5
2017/1/16,235,234.75,234.5,236
2017/1/17,234.25,234.81,234,235
2017/1/18,235,231.61,231,235
2017/1/19,229,227.72,227.5,230
2017/1/20,229,227.68,227.5,229
2017/1/23,227.5,231.59,227.5,232
2017/1/24,232,231.31,231,232
2017/1/25,224,224,224,224
2017/1/26,232.5,232.5,232.5,232.5
2017/2/3,235.5,235.42,235,235.5
2017/2/6,235,238.25,235,238.25
2017/2/7,239,239.31,239,239.5
2017/2/8,239.5,239,238.5,239.5
2017/2/9,240,240.41,240,240.5
2017/2/10,238.25,237.93,237,238.5
2017/2/13,237,239,237,239.25
2017/2/14,238,236.95,236.5,238
2017/2/15,237,236,236,237
2017/2/16,235.5,237.83,235,239.25
2017/2/17,239.25,239.43,239.25,239.5
2017/2/20,238,237.14,236.75,238
2017/2/21,237,237.09,237,237.5
2017/2/22,236.65,237.33,236,237.75
2017/2/23,236.75,236.57,236.5,237.25
2017/2/24,237,239.75,237,239.75
2017/2/27,243,243,243,243
2017/2/28,243.25,243.37,243.25,243.5
2017/3/1,243.37,242,241.25,243.37
2017/3/2,241,241,240.5,241
2017/3/3,238.5,235.21,235.15,238.5
2017/3/6,235,235.67,235,236.25
2017/3/7,235,232.53,232.5,235
2017/3/8,232,229.5,229.5,232
2017/3/9,229,227,227,229
2017/3/10,227.5,224,224,227.5
2017/3/13,225.5,225.52,225.5,225.75
2017/3/14,224.75,224.97,224.75,225.25
2017/3/15,223.75,225.04,223.75,225.5
2017/3/16,230.25,231,230.25,231
2017/3/17,227.5,227.88,227.5,228
2017/3/20,229,230.16,229,230.5
2017/3/21,230,229,229,230
2017/3/22,230.75,230.89,230.75,231.25
2017/3/23,229.5,229.25,229,229.5
2017/3/24,229.5,227.94,227.75,229.5
2017/3/27,230.75,230.7,230.5,230.75
2017/3/28,230.5,229.85,229.5,230.5
2017/3/29,230,227.33,227.25,230
2017/3/30,227.5,227.58,227.5,228.25
2017/3/31,227.75,226,226.25,227.75
2017/4/5,228.5,228.97,228.5,229
2017/4/6,229,227.7,227.9,229
2017/4/7,229.75,229.73,229.25,230
2017/4/10,229,227.5,227.1,229
2017/4/11,225,225.01,224.5,225.25
2017/4/12,228.5,230.3,228.5,231.5
2017/4/13,230.5,231,229,231.5
2017/4/14,233,232.87,232.75,233
2017/4/17,232.75,231.48,231.25,232.75
2017/4/18,233.5,233.5,233.5,233.5
2017/4/19,232,232.23,232,232.5
2017/4/20,232.23,230.4,230.15,232.23
2017/4/21,230.75,231.6,230.75,231.75
2017/4/24,230.5,230.28,230.25,231
2017/4/25,227.5,228.19,227.5,229
2017/4/26,227.5,227.25,226.5,227.5
2017/4/27,226.5,226,225.75,226.5
2017/4/28,226,225.68,225.5,226
2017/5/2,223,222.58,222.5,223
2017/5/3,222.5,220.27,220.25,222.5
2017/5/4,218,216,215.5,218
2017/5/5,215,217.09,215,217
2017/5/8,219.75,219.71,219.5,219.75
2017/5/9,219.5,218.5,218.5,219.5
2017/5/10,217.5,216.91,216.75,217.5
2017/5/11,217.5,219.04,217,219.25
2017/5/12,219,220.76,218.5,221
2017/5/15,218.75,220.25,218.75,221.25
2017/5/16,222.25,222.31,222,222.75
2017/5/17,224.25,224.13,224,224.25
2017/5/18,224,223.98,223.75,224.25
2017/5/19,223,222.25,222.25,223
