,交易时间,合约,开盘价,最高价,最低价,收盘价
0,2022/6/15,Au99.95,393.4,393.4,393.3,393.38
1,2022/6/15,Au99.99,397.8,397.8,393.01,394.34
2,2022/6/15,Au100g,395.2,395.89,393.8,395.29
4,2022/6/15,Au(T+D),394.8,395.25,393,394.09
7,2022/6/15,mAu(T+D),395,395.78,393,394.47
8,2022/6/15,Pt99.95,212.7,212.7,209.97,211.24
13,2022/6/14,Au99.95,396.7,396.7,396,396.14
14,2022/6/14,Au99.99,403,403,395.5,396.48
15,2022/6/14,Au100g,397.6,400.99,396.14,396.25
17,2022/6/14,Au(T+D),402.75,402.98,395.5,396.28
20,2022/6/14,mAu(T+D),402.48,403,395.58,396.34
21,2022/6/14,Pt99.95,215,215,213.5,213.89
26,2022/6/13,Au99.95,399.3,404.3,399.3,403.99
27,2022/6/13,Au99.99,396.5,404.6,394.7,403.02
28,2022/6/13,Au100g,398,404,396.29,402.21
30,2022/6/13,Au(T+D),395.75,404.88,394.5,402.91
33,2022/6/13,mAu(T+D),396,404.79,394.55,402.97
34,2022/6/13,Pt99.95,218.3,218.3,216.84,217.68
40,2022/6/10,Au99.95,397,397,397,397
41,2022/6/10,Au99.99,397,398.3,396.66,397.19
42,2022/6/10,Au100g,397,398.99,396.7,397.24
44,2022/6/10,Au(T+D),396.95,398.5,396.5,397.13
46,2022/6/10,mAu(T+D),397.02,398.33,396.21,397.19
47,2022/6/10,Pt99.95,218,218.54,217.5,218.23
52,2022/6/9,Au99.95,398.5,399.26,398.5,399.06
53,2022/6/9,Au99.99,393.99,399.53,393.05,398.29
54,2022/6/9,Au100g,396.01,399.35,396.01,397.23
56,2022/6/9,Au(T+D),398.4,399.69,397.3,397.87
58,2022/6/9,mAu(T+D),398.3,399.7,397.35,398.1
59,2022/6/9,Pt99.95,225.42,225.42,225.15,225.38
64,2022/6/8,Au99.95,397.1,397.3,397,397.08
65,2022/6/8,Au99.99,398,398.49,395,397
66,2022/6/8,Au100g,395.07,398,395.01,397.88
68,2022/6/8,Au(T+D),397,398,396.5,397.05
69,2022/6/8,mAu(T+D),396.85,398.33,396.5,397.01
70,2022/6/8,Pt99.95,226.56,226.65,225.69,226.04
76,2022/6/7,Au99.95,395.55,395.6,395.55,395.58
